date,residual,metric
2024-07-01 00:00:00,-4.140455798165443,Trust MPS
2024-10-01 00:00:00,-3.393731318778434,Trust MPS
2025-01-01 00:00:00,-2.865253594518511,Trust MPS
2025-04-01 00:00:00,-0.3211985085990828,Trust MPS
2025-07-01 00:00:00,0.2729620401195555,Trust MPS
2025-10-01 00:00:00,-1.9603858224128818,Trust MPS
2026-01-01 00:00:00,-3.0845659104033314,Trust MPS
2017-04-01 00:00:00,5.618895649166808,Fair treatment
2017-07-01 00:00:00,5.0450966326471605,Fair treatment
2017-10-01 00:00:00,2.989806272847283,Fair treatment
2018-01-01 00:00:00,1.8652210420026947,Fair treatment
2018-04-01 00:00:00,3.2464022746791517,Fair treatment
2018-07-01 00:00:00,2.8025861535181087,Fair treatment
2018-10-01 00:00:00,1.7033813812318952,Fair treatment
2019-01-01 00:00:00,1.7489084083599977,Fair treatment
2019-04-01 00:00:00,3.2034001773056384,Fair treatment
2019-07-01 00:00:00,4.486794632733461,Fair treatment
2019-10-01 00:00:00,4.087167415432275,Fair treatment
2020-01-01 00:00:00,3.6466238815372427,Fair treatment
2020-04-01 00:00:00,6.376270608111506,Fair treatment
2020-07-01 00:00:00,5.263948153742174,Fair treatment
2020-10-01 00:00:00,3.2346843289455527,Fair treatment
2021-01-01 00:00:00,1.7719904053560682,Fair treatment
2021-04-01 00:00:00,1.668295195015769,Fair treatment
2021-07-01 00:00:00,0.08201109062955432,Fair treatment
2021-10-01 00:00:00,-0.879003956104025,Fair treatment
2022-01-01 00:00:00,-4.037704424374146,Fair treatment
2022-04-01 00:00:00,-4.53459339710411,Fair treatment
2022-07-01 00:00:00,-2.9697227250481117,Fair treatment
2022-10-01 00:00:00,-4.043138103553122,Fair treatment
2023-01-01 00:00:00,-3.471836587136906,Fair treatment
2023-04-01 00:00:00,-3.412432599010367,Fair treatment
2023-07-01 00:00:00,-4.591504454219745,Fair treatment
2023-10-01 00:00:00,-5.9545662124736705,Fair treatment
2024-01-01 00:00:00,-6.515677994290211,Fair treatment
2024-04-01 00:00:00,-5.385315777340987,Fair treatment
2024-07-01 00:00:00,-4.989270656866204,Fair treatment
2024-10-01 00:00:00,-4.181816453225725,Fair treatment
2025-01-01 00:00:00,-3.894661251065058,Fair treatment
2025-04-01 00:00:00,-0.6507552050255353,Fair treatment
2025-07-01 00:00:00,0.47671071699732664,Fair treatment
2025-10-01 00:00:00,-0.6050942733153927,Fair treatment
2026-01-01 00:00:00,-0.781423314852618,Fair treatment
