crime_type,metric,n_obs,mean_residual,t_stat_mean,t_p_mean,durbin_watson,bp_stat,bp_p,shapiro_p,skew,kurtosis,max_cooks_d,max_leverage,png_path
FRAUD AND FORGERY,Trust MPS,22,-0.11979490599602341,-0.1854110884513394,0.854685730698583,0.37711305474473444,5.648591464290578,0.017469398743461203,0.1901070923066545,0.20411925982046095,-1.2023523313502622,0.3485102391832856,0.364161182368244,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\FRAUD_AND_FORGERY__Trust_MPS__residuals_diagnostics.png
GUN CRIME,Trust MPS,36,-0.3230253067027706,-0.41214053849628496,0.6827498713903329,0.3880457316485101,7.262755281984699,0.007039920284261507,0.2673800630759835,0.08224673713222792,-0.9916975170560511,0.10065054546228032,0.1672691021004385,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\GUN_CRIME__Trust_MPS__residuals_diagnostics.png
HATE CRIME,Trust MPS,36,-0.4047975848057731,-0.4816000375735109,0.6330877789881169,0.6156244110359513,0.39086834149744343,0.5318433174701749,0.11319142734141696,-0.20100582043036638,-0.9519712837561141,0.1688828139895157,0.2711126745453247,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\HATE_CRIME__Trust_MPS__residuals_diagnostics.png
KNIFE CRIME,Trust MPS,36,-0.5968271734598071,-0.598322857952585,0.5534770893399662,0.1394577857113271,0.005682603776435702,0.9399099473535842,0.08602848957212417,-0.03309820756522056,-1.1980703649059452,0.21975023421605475,0.24491063513623912,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\KNIFE_CRIME__Trust_MPS__residuals_diagnostics.png
LETHAL BARREL DISCHARGE,Trust MPS,36,-0.2841557937767626,-0.39641261732555316,0.6942072809492899,0.7763624048535243,0.4782828737903855,0.48920113541067567,0.12626013392506058,-0.4919033599514566,-0.6618879956770432,0.14156950989019287,0.20807693608068345,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\LETHAL_BARREL_DISCHARGE__Trust_MPS__residuals_diagnostics.png
MISCELLANEOUS CRIMES AGAINST SOCIETY,Trust MPS,36,-0.1875869069486906,-0.3308805768271188,0.7427075059423628,0.5891214889624858,3.1513556222395875,0.0758639128831084,0.0014083697561711548,1.0642391741113717,0.5010912827470224,0.14695582761317794,0.2856011408201372,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\MISCELLANEOUS_CRIMES_AGAINST_SOCIETY__Trust_MPS__residuals_diagnostics.png
POSSESSION OF WEAPONS,Trust MPS,23,-0.14349784353307068,-0.20942210305730546,0.8360458598759621,0.7271085024865107,3.6984386599391965,0.05446341014228457,0.8931984760742205,0.2388800877101723,-0.3520057750957717,0.6644579233907772,0.3356040322712977,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\POSSESSION_OF_WEAPONS__Trust_MPS__residuals_diagnostics.png
PUBLIC ORDER OFFENCES,Trust MPS,36,-0.4705587832086192,-0.5205475409873911,0.605959653262367,0.5416452263503561,0.49701783897321317,0.4808133967736503,0.5933093481745086,-0.0662031654142724,-0.5387231831036892,0.33085743680586843,0.22644165694025198,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\PUBLIC_ORDER_OFFENCES__Trust_MPS__residuals_diagnostics.png
ROBBERY,Trust MPS,36,-0.34563282701860865,-0.4411800520916554,0.6617961161244368,1.0664779561711488,0.027572600342038456,0.8681176071144892,0.03760361791854775,-0.5266458599964527,-0.7972172649432805,0.19459890513237732,0.2799624219825224,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\ROBBERY__Trust_MPS__residuals_diagnostics.png
SEXUAL OFFENCES,Trust MPS,36,-0.3047234260385704,-0.41917872785705407,0.6776471197709196,0.6294722429471418,0.07702569085022004,0.7813693145598477,0.13355442169120207,-0.3943497003658918,-0.31034384444065566,0.07940586617343384,0.3516314348961036,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\SEXUAL_OFFENCES__Trust_MPS__residuals_diagnostics.png
THEFT,Trust MPS,36,-0.34352369413214534,-0.4699858436427331,0.6412804652331463,0.7200112474958553,0.2615078313371213,0.6090861418877189,0.8481336536925734,-0.02985432093669791,-0.22757197043871935,0.2002917887607835,0.3096135795182102,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\THEFT__Trust_MPS__residuals_diagnostics.png
VEHICLE OFFENCES,Trust MPS,36,-0.509956177462313,-0.5532503732571713,0.5836089898331901,0.2539125945843656,0.2219851249463427,0.6375314978469744,0.2597981754317322,0.03531330584600527,-0.8785865615566215,0.15791607934076374,0.19869918275138498,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\VEHICLE_OFFENCES__Trust_MPS__residuals_diagnostics.png
VIOLENCE AGAINST THE PERSON,Trust MPS,36,-0.21753033502263688,-0.34127722158577106,0.734935321217504,0.8502709210559908,1.3401788053951478,0.24700243798763183,0.9901642903292304,-0.18633211475079728,-0.13543624318672798,0.12295848799677349,0.2716881229329562,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\VIOLENCE_AGAINST_THE_PERSON__Trust_MPS__residuals_diagnostics.png
ARSON AND CRIMINAL DAMAGE,Fair treatment,36,-0.36857417389962666,-0.3510521055999661,0.727653668473505,0.14870823327315813,0.0036771339366215017,0.9516464135978041,0.0012576094922093534,0.12750208413109274,-1.5482511879396081,0.3811006328648113,0.25633042529199257,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\ARSON_AND_CRIMINAL_DAMAGE__Fair_treatment__residuals_diagnostics.png
BURGLARY,Fair treatment,36,-0.314347240574423,-0.32291665831660177,0.7486796815498206,0.1936534992281113,0.03782579948270204,0.8457933534882507,0.12568706834103993,0.09606442752853386,-1.072051278132547,0.25153643430963973,0.4142801128814897,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\BURGLARY__Fair_treatment__residuals_diagnostics.png
DOMESTIC ABUSE,Fair treatment,36,-0.25879626256248106,-0.2938310486498952,0.7706224685434264,0.5540844176819008,0.09172225581564764,0.7619989764259578,0.4594667482485295,0.0406818540102426,-0.5852934683040019,0.14327710512999678,0.19274450811173588,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\DOMESTIC_ABUSE__Fair_treatment__residuals_diagnostics.png
DRUG OFFENCES,Fair treatment,36,-0.15520046596705703,-0.22879750555994588,0.8203579491323614,0.5556737784943507,0.8450497177819036,0.3579565312493823,0.29767430056063227,-0.08719555925911868,-0.8780094298197496,0.19899692330308333,0.22771658320992538,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\DRUG_OFFENCES__Fair_treatment__residuals_diagnostics.png
