date,crime_type,crime_count
11/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2321
12/1/2015,DOMESTIC ABUSE,8564
12/1/2015,GUN CRIME,166
12/1/2015,HATE CRIME,4520
12/1/2015,KNIFE CRIME,1375
12/1/2015,LETHAL BARREL DISCHARGE,16
12/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2518
1/1/2016,DOMESTIC ABUSE,8293
1/1/2016,GUN CRIME,155
1/1/2016,HATE CRIME,3651
1/1/2016,KNIFE CRIME,1432
1/1/2016,LETHAL BARREL DISCHARGE,24
1/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2285
2/1/2016,DOMESTIC ABUSE,7665
2/1/2016,GUN CRIME,127
2/1/2016,HATE CRIME,3845
2/1/2016,KNIFE CRIME,1169
2/1/2016,LETHAL BARREL DISCHARGE,17
2/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2046
3/1/2016,DOMESTIC ABUSE,7987
3/1/2016,GUN CRIME,158
3/1/2016,HATE CRIME,4238
3/1/2016,KNIFE CRIME,1441
3/1/2016,LETHAL BARREL DISCHARGE,30
3/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2113
4/1/2016,DOMESTIC ABUSE,7925
4/1/2016,GUN CRIME,199
4/1/2016,HATE CRIME,4501
4/1/2016,KNIFE CRIME,1414
4/1/2016,LETHAL BARREL DISCHARGE,27
4/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,1891
5/1/2016,DOMESTIC ABUSE,8671
5/1/2016,GUN CRIME,220
5/1/2016,HATE CRIME,4927
5/1/2016,KNIFE CRIME,1720
5/1/2016,LETHAL BARREL DISCHARGE,37
5/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2185
6/1/2016,DOMESTIC ABUSE,8406
6/1/2016,GUN CRIME,253
6/1/2016,HATE CRIME,5362
6/1/2016,KNIFE CRIME,1687
6/1/2016,LETHAL BARREL DISCHARGE,21
6/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2404
7/1/2016,DOMESTIC ABUSE,9014
7/1/2016,GUN CRIME,323
7/1/2016,HATE CRIME,7414
7/1/2016,KNIFE CRIME,1859
7/1/2016,LETHAL BARREL DISCHARGE,43
7/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2364
8/1/2016,DOMESTIC ABUSE,8871
8/1/2016,GUN CRIME,314
8/1/2016,HATE CRIME,5608
8/1/2016,KNIFE CRIME,1845
8/1/2016,LETHAL BARREL DISCHARGE,50
8/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2290
9/1/2016,DOMESTIC ABUSE,7970
9/1/2016,GUN CRIME,260
9/1/2016,HATE CRIME,5107
9/1/2016,KNIFE CRIME,1750
9/1/2016,LETHAL BARREL DISCHARGE,24
9/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2240
10/1/2016,DOMESTIC ABUSE,8163
10/1/2016,GUN CRIME,246
10/1/2016,HATE CRIME,4783
10/1/2016,KNIFE CRIME,1826
10/1/2016,LETHAL BARREL DISCHARGE,30
10/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2280
11/1/2016,DOMESTIC ABUSE,7382
11/1/2016,GUN CRIME,295
11/1/2016,HATE CRIME,4454
11/1/2016,KNIFE CRIME,1763
11/1/2016,LETHAL BARREL DISCHARGE,19
11/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,2675
12/1/2016,DOMESTIC ABUSE,8180
12/1/2016,GUN CRIME,238
12/1/2016,HATE CRIME,4667
12/1/2016,KNIFE CRIME,1693
12/1/2016,LETHAL BARREL DISCHARGE,12
12/1/2016,MISCELLANEOUS CRIMES AGAINST SOCIETY,3093
1/1/2017,DOMESTIC ABUSE,7867
1/1/2017,GUN CRIME,225
1/1/2017,HATE CRIME,3953
1/1/2017,KNIFE CRIME,1901
1/1/2017,LETHAL BARREL DISCHARGE,15
1/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,2607
2/1/2017,DOMESTIC ABUSE,7467
2/1/2017,GUN CRIME,275
2/1/2017,HATE CRIME,4027
2/1/2017,KNIFE CRIME,1671
2/1/2017,LETHAL BARREL DISCHARGE,22
2/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,2699
3/1/2017,DOMESTIC ABUSE,8406
3/1/2017,GUN CRIME,235
3/1/2017,HATE CRIME,5046
3/1/2017,KNIFE CRIME,2173
3/1/2017,LETHAL BARREL DISCHARGE,21
3/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3633
4/1/2017,ARSON AND CRIMINAL DAMAGE,5136
4/1/2017,BURGLARY,5852
4/1/2017,DOMESTIC ABUSE,8503
4/1/2017,DRUG OFFENCES,2891
4/1/2017,GUN CRIME,214
4/1/2017,HATE CRIME,4887
4/1/2017,KNIFE CRIME,2042
4/1/2017,LETHAL BARREL DISCHARGE,26
4/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3272
4/1/2017,PUBLIC ORDER OFFENCES,3761
4/1/2017,ROBBERY,2498
4/1/2017,SEXUAL OFFENCES,1441
4/1/2017,THEFT,17894
4/1/2017,VEHICLE OFFENCES,8594
4/1/2017,VIOLENCE AGAINST THE PERSON,15860
5/1/2017,ARSON AND CRIMINAL DAMAGE,5482
5/1/2017,BURGLARY,5826
5/1/2017,DOMESTIC ABUSE,8852
5/1/2017,DRUG OFFENCES,3193
5/1/2017,GUN CRIME,256
5/1/2017,HATE CRIME,5190
5/1/2017,KNIFE CRIME,1877
5/1/2017,LETHAL BARREL DISCHARGE,37
5/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3386
5/1/2017,PUBLIC ORDER OFFENCES,4352
5/1/2017,ROBBERY,2482
5/1/2017,SEXUAL OFFENCES,1706
5/1/2017,THEFT,19622
5/1/2017,VEHICLE OFFENCES,9221
5/1/2017,VIOLENCE AGAINST THE PERSON,17534
6/1/2017,ARSON AND CRIMINAL DAMAGE,5328
6/1/2017,BURGLARY,5731
6/1/2017,DOMESTIC ABUSE,9151
6/1/2017,DRUG OFFENCES,2875
6/1/2017,GUN CRIME,287
6/1/2017,HATE CRIME,6854
6/1/2017,KNIFE CRIME,2209
6/1/2017,LETHAL BARREL DISCHARGE,40
6/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3217
6/1/2017,PUBLIC ORDER OFFENCES,4970
6/1/2017,ROBBERY,2508
6/1/2017,SEXUAL OFFENCES,1813
6/1/2017,THEFT,18943
6/1/2017,VEHICLE OFFENCES,8407
6/1/2017,VIOLENCE AGAINST THE PERSON,18037
7/1/2017,ARSON AND CRIMINAL DAMAGE,5471
7/1/2017,BURGLARY,6216
7/1/2017,DOMESTIC ABUSE,9351
7/1/2017,DRUG OFFENCES,3276
7/1/2017,GUN CRIME,355
7/1/2017,HATE CRIME,6158
7/1/2017,KNIFE CRIME,2181
7/1/2017,LETHAL BARREL DISCHARGE,44
7/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3539
7/1/2017,PUBLIC ORDER OFFENCES,4957
7/1/2017,ROBBERY,2941
7/1/2017,SEXUAL OFFENCES,1778
7/1/2017,THEFT,20526
7/1/2017,VEHICLE OFFENCES,8646
7/1/2017,VIOLENCE AGAINST THE PERSON,18300
8/1/2017,ARSON AND CRIMINAL DAMAGE,5174
8/1/2017,BURGLARY,6267
8/1/2017,DOMESTIC ABUSE,8838
8/1/2017,DRUG OFFENCES,3414
8/1/2017,GUN CRIME,259
8/1/2017,HATE CRIME,5286
8/1/2017,KNIFE CRIME,2147
8/1/2017,LETHAL BARREL DISCHARGE,50
8/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3289
8/1/2017,PUBLIC ORDER OFFENCES,4222
8/1/2017,ROBBERY,2728
8/1/2017,SEXUAL OFFENCES,1651
8/1/2017,THEFT,20046
8/1/2017,VEHICLE OFFENCES,8633
8/1/2017,VIOLENCE AGAINST THE PERSON,16154
9/1/2017,ARSON AND CRIMINAL DAMAGE,4961
9/1/2017,BURGLARY,6045
9/1/2017,DOMESTIC ABUSE,8188
9/1/2017,DRUG OFFENCES,3110
9/1/2017,GUN CRIME,236
9/1/2017,HATE CRIME,4707
9/1/2017,KNIFE CRIME,2028
9/1/2017,LETHAL BARREL DISCHARGE,21
9/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3074
9/1/2017,PUBLIC ORDER OFFENCES,3978
9/1/2017,ROBBERY,2765
9/1/2017,SEXUAL OFFENCES,1672
9/1/2017,THEFT,18603
9/1/2017,VEHICLE OFFENCES,8910
9/1/2017,VIOLENCE AGAINST THE PERSON,16377
10/1/2017,ARSON AND CRIMINAL DAMAGE,5420
10/1/2017,BURGLARY,6721
10/1/2017,DOMESTIC ABUSE,8927
10/1/2017,DRUG OFFENCES,3464
10/1/2017,GUN CRIME,256
10/1/2017,HATE CRIME,5023
10/1/2017,KNIFE CRIME,2264
10/1/2017,LETHAL BARREL DISCHARGE,23
10/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3442
10/1/2017,PUBLIC ORDER OFFENCES,4379
10/1/2017,ROBBERY,3058
10/1/2017,SEXUAL OFFENCES,1799
10/1/2017,THEFT,19165
10/1/2017,VEHICLE OFFENCES,9279
10/1/2017,VIOLENCE AGAINST THE PERSON,17829
11/1/2017,ARSON AND CRIMINAL DAMAGE,5194
11/1/2017,BURGLARY,7348
11/1/2017,DOMESTIC ABUSE,7979
11/1/2017,DRUG OFFENCES,3200
11/1/2017,GUN CRIME,278
11/1/2017,HATE CRIME,4237
11/1/2017,KNIFE CRIME,2136
11/1/2017,LETHAL BARREL DISCHARGE,26
11/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3784
11/1/2017,PUBLIC ORDER OFFENCES,3971
11/1/2017,ROBBERY,3159
11/1/2017,SEXUAL OFFENCES,1840
11/1/2017,THEFT,19352
11/1/2017,VEHICLE OFFENCES,9275
11/1/2017,VIOLENCE AGAINST THE PERSON,16936
12/1/2017,ARSON AND CRIMINAL DAMAGE,4740
12/1/2017,BURGLARY,6989
12/1/2017,DOMESTIC ABUSE,8712
12/1/2017,DRUG OFFENCES,2619
12/1/2017,GUN CRIME,263
12/1/2017,HATE CRIME,3896
12/1/2017,KNIFE CRIME,1851
12/1/2017,LETHAL BARREL DISCHARGE,27
12/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3349
12/1/2017,PUBLIC ORDER OFFENCES,3363
12/1/2017,ROBBERY,2825
12/1/2017,SEXUAL OFFENCES,1509
12/1/2017,THEFT,17573
12/1/2017,VEHICLE OFFENCES,8522
12/1/2017,VIOLENCE AGAINST THE PERSON,16320
1/1/2018,ARSON AND CRIMINAL DAMAGE,4929
1/1/2018,BURGLARY,7639
1/1/2018,DOMESTIC ABUSE,8492
1/1/2018,DRUG OFFENCES,3098
1/1/2018,GUN CRIME,235
1/1/2018,HATE CRIME,4092
1/1/2018,KNIFE CRIME,2018
1/1/2018,LETHAL BARREL DISCHARGE,34
1/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,3025
1/1/2018,PUBLIC ORDER OFFENCES,3539
1/1/2018,ROBBERY,2885
1/1/2018,SEXUAL OFFENCES,1663
1/1/2018,THEFT,17511
1/1/2018,VEHICLE OFFENCES,9466
1/1/2018,VIOLENCE AGAINST THE PERSON,16437
2/1/2018,ARSON AND CRIMINAL DAMAGE,4269
2/1/2018,BURGLARY,6600
2/1/2018,DOMESTIC ABUSE,7576
2/1/2018,DRUG OFFENCES,2845
2/1/2018,GUN CRIME,198
2/1/2018,HATE CRIME,3783
2/1/2018,KNIFE CRIME,1634
2/1/2018,LETHAL BARREL DISCHARGE,34
2/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2491
2/1/2018,PUBLIC ORDER OFFENCES,3354
2/1/2018,ROBBERY,2491
2/1/2018,SEXUAL OFFENCES,1538
2/1/2018,THEFT,16211
2/1/2018,VEHICLE OFFENCES,8776
2/1/2018,VIOLENCE AGAINST THE PERSON,14726
3/1/2018,ARSON AND CRIMINAL DAMAGE,4600
3/1/2018,BURGLARY,6360
3/1/2018,DOMESTIC ABUSE,8250
3/1/2018,DRUG OFFENCES,2849
3/1/2018,GUN CRIME,264
3/1/2018,HATE CRIME,4974
3/1/2018,KNIFE CRIME,2027
3/1/2018,LETHAL BARREL DISCHARGE,40
3/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2757
3/1/2018,PUBLIC ORDER OFFENCES,3979
3/1/2018,ROBBERY,2599
3/1/2018,SEXUAL OFFENCES,1684
3/1/2018,THEFT,17207
3/1/2018,VEHICLE OFFENCES,8939
3/1/2018,VIOLENCE AGAINST THE PERSON,17187
4/1/2018,ARSON AND CRIMINAL DAMAGE,4765
4/1/2018,BURGLARY,6356
4/1/2018,DOMESTIC ABUSE,8946
4/1/2018,DRUG OFFENCES,3032
4/1/2018,GUN CRIME,273
4/1/2018,HATE CRIME,4753
4/1/2018,KNIFE CRIME,2091
4/1/2018,LETHAL BARREL DISCHARGE,24
4/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2610
4/1/2018,PUBLIC ORDER OFFENCES,3992
4/1/2018,ROBBERY,2560
4/1/2018,SEXUAL OFFENCES,1594
4/1/2018,THEFT,17373
4/1/2018,VEHICLE OFFENCES,8927
4/1/2018,VIOLENCE AGAINST THE PERSON,16601
5/1/2018,ARSON AND CRIMINAL DAMAGE,5001
5/1/2018,BURGLARY,6385
5/1/2018,DOMESTIC ABUSE,9534
5/1/2018,DRUG OFFENCES,3106
5/1/2018,GUN CRIME,303
5/1/2018,HATE CRIME,5317
5/1/2018,KNIFE CRIME,2093
5/1/2018,LETHAL BARREL DISCHARGE,47
5/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2273
5/1/2018,PUBLIC ORDER OFFENCES,4404
5/1/2018,ROBBERY,2609
5/1/2018,SEXUAL OFFENCES,1803
5/1/2018,THEFT,18315
5/1/2018,VEHICLE OFFENCES,8871
5/1/2018,VIOLENCE AGAINST THE PERSON,18980
6/1/2018,ARSON AND CRIMINAL DAMAGE,4839
6/1/2018,BURGLARY,6092
6/1/2018,DOMESTIC ABUSE,9790
6/1/2018,DRUG OFFENCES,2745
6/1/2018,GUN CRIME,217
6/1/2018,HATE CRIME,5600
6/1/2018,KNIFE CRIME,2206
6/1/2018,LETHAL BARREL DISCHARGE,36
6/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2806
6/1/2018,PUBLIC ORDER OFFENCES,4364
6/1/2018,ROBBERY,2894
6/1/2018,SEXUAL OFFENCES,1859
6/1/2018,THEFT,18209
6/1/2018,VEHICLE OFFENCES,9026
6/1/2018,VIOLENCE AGAINST THE PERSON,18827
7/1/2018,ARSON AND CRIMINAL DAMAGE,5026
7/1/2018,BURGLARY,6301
7/1/2018,DOMESTIC ABUSE,10811
7/1/2018,DRUG OFFENCES,2680
7/1/2018,GUN CRIME,311
7/1/2018,HATE CRIME,5761
7/1/2018,KNIFE CRIME,2116
7/1/2018,LETHAL BARREL DISCHARGE,43
7/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2631
7/1/2018,PUBLIC ORDER OFFENCES,4961
7/1/2018,ROBBERY,2970
7/1/2018,SEXUAL OFFENCES,2037
7/1/2018,THEFT,19713
7/1/2018,VEHICLE OFFENCES,9078
7/1/2018,VIOLENCE AGAINST THE PERSON,20222
8/1/2018,ARSON AND CRIMINAL DAMAGE,4565
8/1/2018,BURGLARY,6506
8/1/2018,DOMESTIC ABUSE,9611
8/1/2018,DRUG OFFENCES,3395
8/1/2018,GUN CRIME,244
8/1/2018,HATE CRIME,4493
8/1/2018,KNIFE CRIME,1951
8/1/2018,LETHAL BARREL DISCHARGE,33
8/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2427
8/1/2018,PUBLIC ORDER OFFENCES,3956
8/1/2018,ROBBERY,2556
8/1/2018,SEXUAL OFFENCES,1650
8/1/2018,THEFT,18431
8/1/2018,VEHICLE OFFENCES,9231
8/1/2018,VIOLENCE AGAINST THE PERSON,17304
9/1/2018,ARSON AND CRIMINAL DAMAGE,4469
9/1/2018,BURGLARY,6089
9/1/2018,DOMESTIC ABUSE,9142
9/1/2018,DRUG OFFENCES,3068
9/1/2018,GUN CRIME,279
9/1/2018,HATE CRIME,4658
9/1/2018,KNIFE CRIME,1709
9/1/2018,LETHAL BARREL DISCHARGE,26
9/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2211
9/1/2018,PUBLIC ORDER OFFENCES,4032
9/1/2018,ROBBERY,2658
9/1/2018,SEXUAL OFFENCES,1718
9/1/2018,THEFT,18073
9/1/2018,VEHICLE OFFENCES,9799
9/1/2018,VIOLENCE AGAINST THE PERSON,17362
10/1/2018,ARSON AND CRIMINAL DAMAGE,4813
10/1/2018,BURGLARY,7149
10/1/2018,DOMESTIC ABUSE,9171
10/1/2018,DRUG OFFENCES,3220
10/1/2018,GUN CRIME,270
10/1/2018,HATE CRIME,4718
10/1/2018,KNIFE CRIME,1888
10/1/2018,LETHAL BARREL DISCHARGE,48
10/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,2729
10/1/2018,PUBLIC ORDER OFFENCES,4118
10/1/2018,ROBBERY,2936
10/1/2018,SEXUAL OFFENCES,1780
10/1/2018,THEFT,20043
10/1/2018,VEHICLE OFFENCES,10509
10/1/2018,VIOLENCE AGAINST THE PERSON,18000
11/1/2018,ARSON AND CRIMINAL DAMAGE,4724
11/1/2018,BURGLARY,7887
11/1/2018,DOMESTIC ABUSE,8509
11/1/2018,DRUG OFFENCES,3391
11/1/2018,GUN CRIME,282
11/1/2018,HATE CRIME,5032
11/1/2018,KNIFE CRIME,1823
11/1/2018,LETHAL BARREL DISCHARGE,42
11/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,3125
11/1/2018,PUBLIC ORDER OFFENCES,3951
11/1/2018,ROBBERY,3040
11/1/2018,SEXUAL OFFENCES,1729
11/1/2018,THEFT,19924
11/1/2018,VEHICLE OFFENCES,10529
11/1/2018,VIOLENCE AGAINST THE PERSON,17665
12/1/2018,ARSON AND CRIMINAL DAMAGE,4688
12/1/2018,BURGLARY,7159
12/1/2018,DOMESTIC ABUSE,9642
12/1/2018,DRUG OFFENCES,3276
12/1/2018,GUN CRIME,193
12/1/2018,HATE CRIME,4789
12/1/2018,KNIFE CRIME,1916
12/1/2018,LETHAL BARREL DISCHARGE,31
12/1/2018,MISCELLANEOUS CRIMES AGAINST SOCIETY,3148
12/1/2018,PUBLIC ORDER OFFENCES,3689
12/1/2018,ROBBERY,3005
12/1/2018,SEXUAL OFFENCES,1484
12/1/2018,THEFT,19411
12/1/2018,VEHICLE OFFENCES,9644
12/1/2018,VIOLENCE AGAINST THE PERSON,17923
1/1/2019,ARSON AND CRIMINAL DAMAGE,4547
1/1/2019,BURGLARY,7455
1/1/2019,DOMESTIC ABUSE,9412
1/1/2019,DRUG OFFENCES,3509
1/1/2019,GUN CRIME,197
1/1/2019,HATE CRIME,4328
1/1/2019,KNIFE CRIME,1918
1/1/2019,LETHAL BARREL DISCHARGE,21
1/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,2815
1/1/2019,PUBLIC ORDER OFFENCES,3538
1/1/2019,ROBBERY,2969
1/1/2019,SEXUAL OFFENCES,1659
1/1/2019,THEFT,19039
1/1/2019,VEHICLE OFFENCES,10859
1/1/2019,VIOLENCE AGAINST THE PERSON,17412
2/1/2019,ARSON AND CRIMINAL DAMAGE,4370
2/1/2019,BURGLARY,6680
2/1/2019,DOMESTIC ABUSE,8752
2/1/2019,DRUG OFFENCES,3480
2/1/2019,GUN CRIME,225
2/1/2019,HATE CRIME,4703
2/1/2019,KNIFE CRIME,1759
2/1/2019,LETHAL BARREL DISCHARGE,19
2/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3250
2/1/2019,PUBLIC ORDER OFFENCES,3667
2/1/2019,ROBBERY,2996
2/1/2019,SEXUAL OFFENCES,1574
2/1/2019,THEFT,19755
2/1/2019,VEHICLE OFFENCES,9675
2/1/2019,VIOLENCE AGAINST THE PERSON,16813
3/1/2019,ARSON AND CRIMINAL DAMAGE,4968
3/1/2019,BURGLARY,7219
3/1/2019,DOMESTIC ABUSE,9198
3/1/2019,DRUG OFFENCES,4429
3/1/2019,GUN CRIME,194
3/1/2019,HATE CRIME,5718
3/1/2019,KNIFE CRIME,1950
3/1/2019,LETHAL BARREL DISCHARGE,23
3/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3599
3/1/2019,PUBLIC ORDER OFFENCES,4464
3/1/2019,ROBBERY,3202
3/1/2019,SEXUAL OFFENCES,1704
3/1/2019,THEFT,21397
3/1/2019,VEHICLE OFFENCES,10794
3/1/2019,VIOLENCE AGAINST THE PERSON,18723
4/1/2019,ARSON AND CRIMINAL DAMAGE,4727
4/1/2019,BURGLARY,6316
4/1/2019,DOMESTIC ABUSE,9070
4/1/2019,DRUG OFFENCES,3714
4/1/2019,GUN CRIME,217
4/1/2019,HATE CRIME,5334
4/1/2019,KNIFE CRIME,2090
4/1/2019,LETHAL BARREL DISCHARGE,25
4/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3586
4/1/2019,PUBLIC ORDER OFFENCES,4135
4/1/2019,ROBBERY,3441
4/1/2019,SEXUAL OFFENCES,1596
4/1/2019,THEFT,21576
4/1/2019,VEHICLE OFFENCES,10297
4/1/2019,VIOLENCE AGAINST THE PERSON,17522
5/1/2019,ARSON AND CRIMINAL DAMAGE,4895
5/1/2019,BURGLARY,6408
5/1/2019,DOMESTIC ABUSE,9484
5/1/2019,DRUG OFFENCES,3932
5/1/2019,GUN CRIME,186
5/1/2019,HATE CRIME,5442
5/1/2019,KNIFE CRIME,2072
5/1/2019,LETHAL BARREL DISCHARGE,17
5/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3237
5/1/2019,PUBLIC ORDER OFFENCES,4576
5/1/2019,ROBBERY,3331
5/1/2019,SEXUAL OFFENCES,1697
5/1/2019,THEFT,21758
5/1/2019,VEHICLE OFFENCES,10070
5/1/2019,VIOLENCE AGAINST THE PERSON,18884
6/1/2019,ARSON AND CRIMINAL DAMAGE,4711
6/1/2019,BURGLARY,6368
6/1/2019,DOMESTIC ABUSE,9685
6/1/2019,DRUG OFFENCES,4109
6/1/2019,GUN CRIME,222
6/1/2019,HATE CRIME,5625
6/1/2019,KNIFE CRIME,2024
6/1/2019,LETHAL BARREL DISCHARGE,24
6/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3096
6/1/2019,PUBLIC ORDER OFFENCES,4640
6/1/2019,ROBBERY,3174
6/1/2019,SEXUAL OFFENCES,1824
6/1/2019,THEFT,21152
6/1/2019,VEHICLE OFFENCES,10049
6/1/2019,VIOLENCE AGAINST THE PERSON,19034
7/1/2019,ARSON AND CRIMINAL DAMAGE,4924
7/1/2019,BURGLARY,6304
7/1/2019,DOMESTIC ABUSE,10228
7/1/2019,DRUG OFFENCES,4586
7/1/2019,GUN CRIME,251
7/1/2019,HATE CRIME,6218
7/1/2019,KNIFE CRIME,1983
7/1/2019,LETHAL BARREL DISCHARGE,25
7/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3392
7/1/2019,PUBLIC ORDER OFFENCES,5289
7/1/2019,ROBBERY,3428
7/1/2019,SEXUAL OFFENCES,1850
7/1/2019,THEFT,22775
7/1/2019,VEHICLE OFFENCES,10519
7/1/2019,VIOLENCE AGAINST THE PERSON,20302
8/1/2019,ARSON AND CRIMINAL DAMAGE,4597
8/1/2019,BURGLARY,6163
8/1/2019,DOMESTIC ABUSE,10037
8/1/2019,DRUG OFFENCES,4865
8/1/2019,GUN CRIME,226
8/1/2019,HATE CRIME,5653
8/1/2019,KNIFE CRIME,1952
8/1/2019,LETHAL BARREL DISCHARGE,32
8/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3198
8/1/2019,PUBLIC ORDER OFFENCES,4676
8/1/2019,ROBBERY,3083
8/1/2019,SEXUAL OFFENCES,1555
8/1/2019,THEFT,20914
8/1/2019,VEHICLE OFFENCES,10480
8/1/2019,VIOLENCE AGAINST THE PERSON,18629
9/1/2019,ARSON AND CRIMINAL DAMAGE,4578
9/1/2019,BURGLARY,6526
9/1/2019,DOMESTIC ABUSE,9170
9/1/2019,DRUG OFFENCES,4012
9/1/2019,GUN CRIME,212
9/1/2019,HATE CRIME,5349
9/1/2019,KNIFE CRIME,1813
9/1/2019,LETHAL BARREL DISCHARGE,20
9/1/2019,MISCELLANEOUS CRIMES AGAINST SOCIETY,3340
