date,residual,metric
2017-10-01 00:00:00,3.847616085403526,Trust MPS
2018-01-01 00:00:00,2.930635741701407,Trust MPS
2018-04-01 00:00:00,3.6085424369619776,Trust MPS
2018-07-01 00:00:00,3.166319513953125,Trust MPS
2018-10-01 00:00:00,1.972752905045302,Trust MPS
2019-01-01 00:00:00,1.7893070789804215,Trust MPS
2019-04-01 00:00:00,1.9364364132192653,Trust MPS
2019-07-01 00:00:00,3.29371721596611,Trust MPS
2019-10-01 00:00:00,2.1811055791486753,Trust MPS
2020-01-01 00:00:00,2.192761027593473,Trust MPS
2020-04-01 00:00:00,5.741458629158691,Trust MPS
2020-07-01 00:00:00,4.738118609894437,Trust MPS
2020-10-01 00:00:00,2.597910124684756,Trust MPS
2021-01-01 00:00:00,1.828441905971438,Trust MPS
2021-04-01 00:00:00,3.331658011897513,Trust MPS
2021-07-01 00:00:00,1.8438030186956875,Trust MPS
2021-10-01 00:00:00,1.1189935165116625,Trust MPS
2022-01-01 00:00:00,-2.147205049769645,Trust MPS
2022-04-01 00:00:00,-3.677320309109759,Trust MPS
2022-07-01 00:00:00,-3.6191492638066802,Trust MPS
2022-10-01 00:00:00,-4.91070358885101,Trust MPS
2023-01-01 00:00:00,-5.446662865484037,Trust MPS
2023-04-01 00:00:00,-5.062225631665478,Trust MPS
2023-07-01 00:00:00,-6.440618514712667,Trust MPS
2023-10-01 00:00:00,-7.191081695799055,Trust MPS
2024-01-01 00:00:00,-7.127023265719544,Trust MPS
2024-04-01 00:00:00,-5.436469002799325,Trust MPS
2024-07-01 00:00:00,-4.4553804085875095,Trust MPS
2024-10-01 00:00:00,-3.9531216609215734,Trust MPS
2025-01-01 00:00:00,-3.372520666435338,Trust MPS
2025-04-01 00:00:00,-1.7757443146815115,Trust MPS
2025-07-01 00:00:00,-0.2805423264586319,Trust MPS
2025-10-01 00:00:00,-2.2881408991453362,Trust MPS
2026-01-01 00:00:00,-3.8398111310638647,Trust MPS
2015-01-01 00:00:00,-0.6031862677932079,Fair treatment
2015-04-01 00:00:00,-0.9841206033693614,Fair treatment
2015-07-01 00:00:00,0.10871308975148875,Fair treatment
2015-10-01 00:00:00,1.0667958859808608,Fair treatment
2016-01-01 00:00:00,0.7872225156631423,Fair treatment
2016-04-01 00:00:00,0.7929184726991741,Fair treatment
2016-07-01 00:00:00,1.5560771813540377,Fair treatment
2016-10-01 00:00:00,2.419752597575888,Fair treatment
2017-01-01 00:00:00,2.907823238142976,Fair treatment
2017-04-01 00:00:00,5.61841234490792,Fair treatment
2017-07-01 00:00:00,4.637847494493457,Fair treatment
2017-10-01 00:00:00,2.7002521012466314,Fair treatment
2018-01-01 00:00:00,2.007014092072934,Fair treatment
2018-04-01 00:00:00,3.4704231142342326,Fair treatment
2018-07-01 00:00:00,3.097057037869617,Fair treatment
2018-10-01 00:00:00,2.3428814342411783,Fair treatment
2019-01-01 00:00:00,2.770195492688343,Fair treatment
2019-04-01 00:00:00,3.643529268985872,Fair treatment
2019-07-01 00:00:00,5.1925001916696925,Fair treatment
2019-10-01 00:00:00,4.410982572521516,Fair treatment
2020-01-01 00:00:00,4.149479815156837,Fair treatment
2020-04-01 00:00:00,7.235352126182794,Fair treatment
2020-07-01 00:00:00,5.649578601475686,Fair treatment
2020-10-01 00:00:00,2.796482254494466,Fair treatment
2021-01-01 00:00:00,1.6167122166154488,Fair treatment
2021-04-01 00:00:00,1.8162432763507914,Fair treatment
2021-07-01 00:00:00,-0.31890186169218643,Fair treatment
2021-10-01 00:00:00,-1.2566000380848548,Fair treatment
2022-01-01 00:00:00,-4.153822974089163,Fair treatment
