crime_type,date,residual
BURGLARY,6/1/2022,0.281636433
BURGLARY,7/1/2022,-1.679354741
BURGLARY,8/1/2022,-5.824351649
BURGLARY,9/1/2022,-6.232479031
BURGLARY,10/1/2022,-4.186371774
BURGLARY,11/1/2022,-5.913147197
BURGLARY,12/1/2022,-6.550443279
BURGLARY,1/1/2023,-4.26070996
BURGLARY,2/1/2023,-3.454549299
BURGLARY,3/1/2023,-8.569947691
BURGLARY,4/1/2023,9.807897381
BURGLARY,5/1/2023,-4.928972145
BURGLARY,6/1/2023,12.78770918
BURGLARY,7/1/2023,-0.053780847
BURGLARY,8/1/2023,-0.73881227
BURGLARY,9/1/2023,7.591297461
BURGLARY,10/1/2023,-0.30339825
BURGLARY,11/1/2023,-7.764991819
BURGLARY,12/1/2023,-12.86892852
BURGLARY,1/1/2024,-13.80468444
BURGLARY,2/1/2024,-10.44334811
BURGLARY,3/1/2024,-6.621622995
BURGLARY,4/1/2024,-4.635136065
BURGLARY,5/1/2024,-2.307761508
BURGLARY,6/1/2024,-3.474998003
BURGLARY,7/1/2024,4.365547728
BURGLARY,8/1/2024,-10.23137194
BURGLARY,9/1/2024,-3.770722664
BURGLARY,10/1/2024,-15.6418112
BURGLARY,11/1/2024,-10.01024596
BURGLARY,12/1/2024,-13.82855211
BURGLARY,1/1/2025,-10.31811611
BURGLARY,2/1/2025,-1.099464808
BURGLARY,3/1/2025,6.805325006
BURGLARY,4/1/2025,-7.925553177
BURGLARY,5/1/2025,-3.9335959
BURGLARY,6/1/2025,-13.36900992
BURGLARY,7/1/2025,-3.701431529
BURGLARY,8/1/2025,-5.372005591
BURGLARY,9/1/2025,1.79138864
BURGLARY,10/1/2025,7.413543567
BURGLARY,11/1/2025,-2.247620186
BURGLARY,12/1/2025,-0.08679833
BURGLARY,1/1/2026,7.469061134
BURGLARY,2/1/2026,4.927659031
BURGLARY,3/1/2026,9.674622661
BURGLARY,4/1/2026,-7.265496514
BURGLARY,5/1/2026,-6.917249958
DOMESTIC ABUSE,1/1/2015,-5.328298939
DOMESTIC ABUSE,2/1/2015,-5.101663909
DOMESTIC ABUSE,3/1/2015,-0.360675371
DOMESTIC ABUSE,4/1/2015,-4.274074994
DOMESTIC ABUSE,5/1/2015,-3.530454226
DOMESTIC ABUSE,6/1/2015,-2.499920355
DOMESTIC ABUSE,7/1/2015,-3.666014087
DOMESTIC ABUSE,8/1/2015,-1.580729825
DOMESTIC ABUSE,9/1/2015,-1.338301414
DOMESTIC ABUSE,10/1/2015,-0.523610428
DOMESTIC ABUSE,11/1/2015,-0.449381533
DOMESTIC ABUSE,12/1/2015,10.4126896
DOMESTIC ABUSE,1/1/2016,6.48402304
DOMESTIC ABUSE,2/1/2016,-1.350672896
DOMESTIC ABUSE,3/1/2016,1.564569288
DOMESTIC ABUSE,4/1/2016,-4.419110884
DOMESTIC ABUSE,5/1/2016,-2.615475266
DOMESTIC ABUSE,6/1/2016,-0.545721162
DOMESTIC ABUSE,7/1/2016,1.294239235
DOMESTIC ABUSE,8/1/2016,2.331880128
DOMESTIC ABUSE,9/1/2016,9.569044079
DOMESTIC ABUSE,10/1/2016,-1.481757966
DOMESTIC ABUSE,11/1/2016,3.723819222
DOMESTIC ABUSE,12/1/2016,2.513767243
DOMESTIC ABUSE,1/1/2017,0.596156051
DOMESTIC ABUSE,2/1/2017,0.701445264
DOMESTIC ABUSE,3/1/2017,1.454278838
DOMESTIC ABUSE,4/1/2017,7.428746204
DOMESTIC ABUSE,5/1/2017,-2.663118634
DOMESTIC ABUSE,6/1/2017,-3.74182232
DOMESTIC ABUSE,7/1/2017,-0.794466927
DOMESTIC ABUSE,8/1/2017,-4.659433512
DOMESTIC ABUSE,9/1/2017,-3.488338541
DOMESTIC ABUSE,10/1/2017,-1.682860361
DOMESTIC ABUSE,11/1/2017,8.566675072
DOMESTIC ABUSE,12/1/2017,2.37373259
DOMESTIC ABUSE,1/1/2018,7.431641657
DOMESTIC ABUSE,2/1/2018,1.672753954
DOMESTIC ABUSE,3/1/2018,0.495341631
DOMESTIC ABUSE,4/1/2018,-3.687861599
DOMESTIC ABUSE,5/1/2018,-2.842636741
DOMESTIC ABUSE,6/1/2018,-0.910021837
DOMESTIC ABUSE,7/1/2018,0.821227448
DOMESTIC ABUSE,8/1/2018,-3.862904915
DOMESTIC ABUSE,9/1/2018,5.260546687
DOMESTIC ABUSE,10/1/2018,4.252913219
DOMESTIC ABUSE,11/1/2018,6.427166866
DOMESTIC ABUSE,12/1/2018,5.128935171
DOMESTIC ABUSE,1/1/2019,9.189476468
DOMESTIC ABUSE,2/1/2019,7.363203669
DOMESTIC ABUSE,3/1/2019,6.245806197
DOMESTIC ABUSE,4/1/2019,-1.720501255
DOMESTIC ABUSE,5/1/2019,2.17052441
DOMESTIC ABUSE,6/1/2019,5.117616581
DOMESTIC ABUSE,7/1/2019,-0.025313525
DOMESTIC ABUSE,8/1/2019,-1.975037926
DOMESTIC ABUSE,9/1/2019,9.253176442
DOMESTIC ABUSE,10/1/2019,6.190002915
DOMESTIC ABUSE,11/1/2019,4.242384298
DOMESTIC ABUSE,12/1/2019,9.14788723
DOMESTIC ABUSE,1/1/2020,0.20263762
DOMESTIC ABUSE,2/1/2020,2.325299552
DOMESTIC ABUSE,3/1/2020,6.202111174
DOMESTIC ABUSE,4/1/2020,21.18289589
DOMESTIC ABUSE,5/1/2020,8.88045263
DOMESTIC ABUSE,6/1/2020,1.97073813
DOMESTIC ABUSE,7/1/2020,13.79385225
DOMESTIC ABUSE,8/1/2020,-0.2993287
DOMESTIC ABUSE,9/1/2020,1.080238911
DOMESTIC ABUSE,10/1/2020,-1.762880163
DOMESTIC ABUSE,11/1/2020,0.265284701
DOMESTIC ABUSE,12/1/2020,-2.824211129
DOMESTIC ABUSE,1/1/2021,-2.666540534
DOMESTIC ABUSE,2/1/2021,-4.53334968
DOMESTIC ABUSE,3/1/2021,1.280551637
DOMESTIC ABUSE,4/1/2021,-0.749982234
DOMESTIC ABUSE,5/1/2021,-4.041633353
DOMESTIC ABUSE,6/1/2021,-4.976617264
DOMESTIC ABUSE,7/1/2021,-3.11954737
DOMESTIC ABUSE,8/1/2021,-3.878698297
DOMESTIC ABUSE,9/1/2021,-3.846058641
DOMESTIC ABUSE,10/1/2021,-0.976617264
DOMESTIC ABUSE,11/1/2021,2.203953735
DOMESTIC ABUSE,12/1/2021,-3.873433836
DOMESTIC ABUSE,1/1/2022,-5.878698297
DOMESTIC ABUSE,2/1/2022,-2.668909541
DOMESTIC ABUSE,3/1/2022,4.130251286
DOMESTIC ABUSE,4/1/2022,-4.778147099
DOMESTIC ABUSE,5/1/2022,-1.931869349
DOMESTIC ABUSE,6/1/2022,-1.869222267
DOMESTIC ABUSE,7/1/2022,-3.048213929
DOMESTIC ABUSE,8/1/2022,0.006536462
DOMESTIC ABUSE,9/1/2022,-3.777094207
DOMESTIC ABUSE,10/1/2022,-4.915812744
DOMESTIC ABUSE,11/1/2022,-2.748666119
DOMESTIC ABUSE,12/1/2022,-1.850796655
DOMESTIC ABUSE,1/1/2023,0.122617819
DOMESTIC ABUSE,2/1/2023,-3.62021328
DOMESTIC ABUSE,3/1/2023,5.213429764
DOMESTIC ABUSE,4/1/2023,-0.958981321
DOMESTIC ABUSE,5/1/2023,-2.018469726
DOMESTIC ABUSE,6/1/2023,-5.151134134
DOMESTIC ABUSE,7/1/2023,-2.088223829
DOMESTIC ABUSE,8/1/2023,-1.979249494
DOMESTIC ABUSE,9/1/2023,2.030489758
DOMESTIC ABUSE,10/1/2023,2.304768156
DOMESTIC ABUSE,11/1/2023,0.319245423
DOMESTIC ABUSE,12/1/2023,-0.95108463
DOMESTIC ABUSE,1/1/2024,-4.77735743
DOMESTIC ABUSE,2/1/2024,-5.613106258
DOMESTIC ABUSE,3/1/2024,-2.458857562
DOMESTIC ABUSE,4/1/2024,-5.472281937
DOMESTIC ABUSE,5/1/2024,-1.661802519
DOMESTIC ABUSE,6/1/2024,-5.661276073
DOMESTIC ABUSE,7/1/2024,-3.758668594
DOMESTIC ABUSE,8/1/2024,1.214482656
DOMESTIC ABUSE,9/1/2024,1.368731353
DOMESTIC ABUSE,10/1/2024,-2.583098833
DOMESTIC ABUSE,11/1/2024,14.41426894
DOMESTIC ABUSE,12/1/2024,-1.77393553
DOMESTIC ABUSE,1/1/2025,1.325562776
DOMESTIC ABUSE,2/1/2025,-3.423848899
DOMESTIC ABUSE,3/1/2025,2.281341306
DOMESTIC ABUSE,4/1/2025,-1.692073168
DOMESTIC ABUSE,5/1/2025,-3.826843359
DOMESTIC ABUSE,6/1/2025,-5.872117721
DOMESTIC ABUSE,7/1/2025,-2.097699858
DOMESTIC ABUSE,8/1/2025,-3.923972658
DOMESTIC ABUSE,9/1/2025,-2.670752102
DOMESTIC ABUSE,10/1/2025,-4.815524769
DOMESTIC ABUSE,11/1/2025,-1.73313596
DOMESTIC ABUSE,12/1/2025,-5.842373518
DOMESTIC ABUSE,1/1/2026,-5.808154524
DOMESTIC ABUSE,2/1/2026,-1.704707873
DOMESTIC ABUSE,3/1/2026,-1.750771903
DOMESTIC ABUSE,4/1/2026,-5.71918514
DRUG OFFENCES,4/1/2017,11.90588826
DRUG OFFENCES,5/1/2017,33.53826969
DRUG OFFENCES,6/1/2017,-5.074635259
DRUG OFFENCES,7/1/2017,-13.56276456
DRUG OFFENCES,8/1/2017,46.2692508
DRUG OFFENCES,9/1/2017,24.63930393
DRUG OFFENCES,10/1/2017,55.20838679
DRUG OFFENCES,11/1/2017,77.52974873
DRUG OFFENCES,12/1/2017,3.236988433
DRUG OFFENCES,1/1/2018,-3.346088709
DRUG OFFENCES,2/1/2018,37.96188314
DRUG OFFENCES,3/1/2018,18.95701402
DRUG OFFENCES,4/1/2018,85.73425177
DRUG OFFENCES,5/1/2018,28.64417305
DRUG OFFENCES,6/1/2018,30.08361115
DRUG OFFENCES,7/1/2018,30.16273435
DRUG OFFENCES,8/1/2018,30.29237912
DRUG OFFENCES,9/1/2018,81.69042969
DRUG OFFENCES,10/1/2018,41.50540312
DRUG OFFENCES,11/1/2018,39.29724824
DRUG OFFENCES,12/1/2018,40.43723544
DRUG OFFENCES,1/1/2019,67.15360919
DRUG OFFENCES,2/1/2019,68.18891031
DRUG OFFENCES,3/1/2019,38.03371155
DRUG OFFENCES,4/1/2019,35.90406678
DRUG OFFENCES,5/1/2019,74.63869973
DRUG OFFENCES,6/1/2019,106.4232412
DRUG OFFENCES,7/1/2019,80.84259858
DRUG OFFENCES,8/1/2019,38.50297745
DRUG OFFENCES,9/1/2019,79.54131733
DRUG OFFENCES,10/1/2019,108.5498383
DRUG OFFENCES,11/1/2019,56.48775701
DRUG OFFENCES,12/1/2019,11.15239191
DRUG OFFENCES,1/1/2020,17.66365841
DRUG OFFENCES,2/1/2020,6.268646597
DRUG OFFENCES,3/1/2020,6.537665487
DRUG OFFENCES,4/1/2020,16.82495246
DRUG OFFENCES,5/1/2020,5.028247111
DRUG OFFENCES,6/1/2020,2.249783197
DRUG OFFENCES,7/1/2020,45.32038544
DRUG OFFENCES,8/1/2020,9.770165976
DRUG OFFENCES,9/1/2020,8.812770778
DRUG OFFENCES,10/1/2020,-16.92855277
DRUG OFFENCES,11/1/2020,-26.31321327
DRUG OFFENCES,12/1/2020,-9.336954668
DRUG OFFENCES,1/1/2021,7.547403728
DRUG OFFENCES,2/1/2021,-23.87864429
DRUG OFFENCES,3/1/2021,0.023973307
DRUG OFFENCES,4/1/2021,-18.50859115
DRUG OFFENCES,5/1/2021,-5.088629538
DRUG OFFENCES,6/1/2021,-19.84152169
DRUG OFFENCES,7/1/2021,-27.90360297
DRUG OFFENCES,8/1/2021,-9.753877525
DRUG OFFENCES,9/1/2021,-35.45199207
DRUG OFFENCES,10/1/2021,-15.30408811
DRUG OFFENCES,11/1/2021,-32.26756971
DRUG OFFENCES,12/1/2021,-19.74657384
DRUG OFFENCES,1/1/2022,-26.83969133
DRUG OFFENCES,2/1/2022,-43.26635243
DRUG OFFENCES,3/1/2022,-27.56458604
DRUG OFFENCES,4/1/2022,-33.55911272
DRUG OFFENCES,5/1/2022,-9.325999147
DRUG OFFENCES,6/1/2022,-28.92307945
DRUG OFFENCES,7/1/2022,-39.14705898
DRUG OFFENCES,8/1/2022,-41.10201962
DRUG OFFENCES,9/1/2022,-48.35826151
DRUG OFFENCES,10/1/2022,-42.82082793
DRUG OFFENCES,11/1/2022,-30.82082793
DRUG OFFENCES,12/1/2022,-45.0965463
DRUG OFFENCES,1/1/2023,-18.18114282
DRUG OFFENCES,2/1/2023,-41.37530343
DRUG OFFENCES,3/1/2023,-15.57980648
DRUG OFFENCES,4/1/2023,-13.30104935
DRUG OFFENCES,5/1/2023,7.550442487
DRUG OFFENCES,6/1/2023,-8.756312085
DRUG OFFENCES,7/1/2023,14.17673751
DRUG OFFENCES,8/1/2023,-5.046024736
DRUG OFFENCES,9/1/2023,-3.483641355
DRUG OFFENCES,10/1/2023,-11.97603557
DRUG OFFENCES,11/1/2023,-16.08559078
DRUG OFFENCES,12/1/2023,-0.749621486
DRUG OFFENCES,1/1/2024,-24.17323494
DRUG OFFENCES,2/1/2024,-17.96264549
DRUG OFFENCES,3/1/2024,-9.879870451
DRUG OFFENCES,4/1/2024,-1.781270767
DRUG OFFENCES,5/1/2024,-30.18662502
DRUG OFFENCES,6/1/2024,-30.1026327
DRUG OFFENCES,7/1/2024,-8.312004868
DRUG OFFENCES,8/1/2024,-36.13123434
DRUG OFFENCES,9/1/2024,-29.40512235
DRUG OFFENCES,10/1/2024,3.239431876
DRUG OFFENCES,11/1/2024,-17.97480941
DRUG OFFENCES,12/1/2024,-25.6217982
DRUG OFFENCES,1/1/2025,-21.96263661
DRUG OFFENCES,2/1/2025,-39.33086827
DRUG OFFENCES,3/1/2025,-6.742308923
DRUG OFFENCES,4/1/2025,-16.40816111
DRUG OFFENCES,5/1/2025,10.20839568
DRUG OFFENCES,6/1/2025,-29.08801646
DRUG OFFENCES,7/1/2025,-18.36920815
DRUG OFFENCES,8/1/2025,0.557755049
DRUG OFFENCES,9/1/2025,-16.95168109
DRUG OFFENCES,10/1/2025,-28.18783342
DRUG OFFENCES,11/1/2025,-36.99915501
DRUG OFFENCES,12/1/2025,-50.76056812
DRUG OFFENCES,1/1/2026,-40.755699
DRUG OFFENCES,2/1/2026,-40.83178345
DRUG OFFENCES,3/1/2026,-56.99976809
DRUG OFFENCES,4/1/2026,-87.96568425
DRUG OFFENCES,5/1/2026,-87.742922
FRAUD AND FORGERY,9/1/2020,2.297345715
FRAUD AND FORGERY,1/1/2021,12.29734572
FRAUD AND FORGERY,5/1/2021,17.29734572
FRAUD AND FORGERY,7/1/2021,13.29734572
FRAUD AND FORGERY,8/1/2021,-1.702654285
FRAUD AND FORGERY,10/1/2021,4.297345715
FRAUD AND FORGERY,11/1/2021,-1.702654285
FRAUD AND FORGERY,12/1/2021,-6.790911085
FRAUD AND FORGERY,1/1/2022,-2.702654285
FRAUD AND FORGERY,2/1/2022,7.297345715
FRAUD AND FORGERY,3/1/2022,-9.702654285
FRAUD AND FORGERY,4/1/2022,19.29734572
FRAUD AND FORGERY,6/1/2022,6.297345715
FRAUD AND FORGERY,8/1/2022,8.297345715
FRAUD AND FORGERY,9/1/2022,-6.967424686
FRAUD AND FORGERY,10/1/2022,-14.70265428
FRAUD AND FORGERY,11/1/2022,-5.702654285
FRAUD AND FORGERY,12/1/2022,-5.967424686
FRAUD AND FORGERY,1/1/2023,0.297345715
FRAUD AND FORGERY,2/1/2023,-7.790911085
FRAUD AND FORGERY,3/1/2023,-7.702654285
FRAUD AND FORGERY,5/1/2023,24.29734572
FRAUD AND FORGERY,6/1/2023,5.297345715
FRAUD AND FORGERY,7/1/2023,-5.702654285
FRAUD AND FORGERY,8/1/2023,5.120832115
FRAUD AND FORGERY,9/1/2023,1.209088915
FRAUD AND FORGERY,10/1/2023,9.209088915
FRAUD AND FORGERY,11/1/2023,5.209088915
FRAUD AND FORGERY,12/1/2023,-0.879167885
FRAUD AND FORGERY,1/1/2024,-2.702654285
FRAUD AND FORGERY,2/1/2024,4.120832115
FRAUD AND FORGERY,3/1/2024,-4.085587891
FRAUD AND FORGERY,4/1/2024,19.26743931
FRAUD AND FORGERY,5/1/2024,11.35569611
FRAUD AND FORGERY,6/1/2024,-13.20301989
FRAUD AND FORGERY,7/1/2024,-16.67347909
FRAUD AND FORGERY,8/1/2024,2.679548113
FRAUD AND FORGERY,9/1/2024,-11.49696549
FRAUD AND FORGERY,10/1/2024,5.591291313
FRAUD AND FORGERY,11/1/2024,-7.790911085
FRAUD AND FORGERY,12/1/2024,5.856061714
FRAUD AND FORGERY,1/1/2025,-7.055681486
FRAUD AND FORGERY,2/1/2025,-1.143938286
FRAUD AND FORGERY,3/1/2025,0.856061714
FRAUD AND FORGERY,4/1/2025,-12.14393829
FRAUD AND FORGERY,5/1/2025,1.120832115
FRAUD AND FORGERY,6/1/2025,-12.96742469
FRAUD AND FORGERY,7/1/2025,-0.790911085
FRAUD AND FORGERY,8/1/2025,-8.790911085
FRAUD AND FORGERY,9/1/2025,-5.702654285
FRAUD AND FORGERY,10/1/2025,11.94431851
FRAUD AND FORGERY,11/1/2025,17.59129131
FRAUD AND FORGERY,1/1/2026,1.856061714
FRAUD AND FORGERY,2/1/2026,-1.702654285
FRAUD AND FORGERY,3/1/2026,-15.14393829
FRAUD AND FORGERY,4/1/2026,-24.14393829
GUN CRIME,1/1/2015,-21.15213443
GUN CRIME,2/1/2015,-18.78932374
GUN CRIME,3/1/2015,1.497688034
GUN CRIME,4/1/2015,-8.970729082
GUN CRIME,5/1/2015,-11.24915368
GUN CRIME,6/1/2015,14.19804311
GUN CRIME,7/1/2015,-2.574064909
GUN CRIME,8/1/2015,7.691726533
