date,crime_type,crime_count,headline_count,crime_z,headline_z,divergence
9/1/2017,ROBBERY,2765,55,0.331029508,1.261637326,0.930607818
9/1/2017,MISCELLANEOUS,3074,0,-0.440533394,-0.436446594,0.0040868
9/1/2017,DRUG OFFENCES,3110,112,-0.855387392,0.596930588,1.452317979
9/1/2017,PUBLIC ORDER OFFENCES,3978,7,-0.919623291,0.322258989,1.24188228
9/1/2017,HATE CRIME,4707,45,-0.742360145,-0.144629216,0.597730929
9/1/2017,ARSON AND CRIMINAL DAMAGE,4961,17,0.976785912,-0.100603906,-1.077389819
9/1/2017,BURGLARY,6045,18,0.365970152,0.021313761,-0.344656391
9/1/2017,DOMESTIC ABUSE,8188,2,-1.185275759,-0.826083625,0.359192134
9/1/2017,VEHICLE OFFENCES,8910,12,0.127855608,0.872320617,0.744465009
9/1/2017,VIOLENCE AGAINST THE PERSON,16377,491,-1.600612249,1.669038757,3.269651006
9/1/2017,THEFT,18603,34,-0.322344886,-0.592335191,-0.269990304
10/1/2017,LETHAL BARREL DISCHARGE,23,34,0.116775505,-0.691937121,-0.808712626
10/1/2017,GUN CRIME,256,20,1.230237527,-0.104161275,-1.334398801
10/1/2017,SEXUAL OFFENCES,1799,186,-0.146044889,2.223894703,2.369939592
10/1/2017,KNIFE CRIME,2264,148,2.0133105,-0.012475562,-2.025786062
10/1/2017,ROBBERY,3058,54,0.90778321,1.200164104,0.292380895
10/1/2017,MISCELLANEOUS,3442,0,-0.211565385,-0.436446594,-0.224881209
10/1/2017,DRUG OFFENCES,3464,143,-0.365126473,1.449284767,1.81441124
10/1/2017,PUBLIC ORDER OFFENCES,4379,6,-0.218890268,0.171023411,0.389913679
10/1/2017,HATE CRIME,5023,29,-0.443567977,-0.601900032,-0.158332056
10/1/2017,ARSON AND CRIMINAL DAMAGE,5420,12,2.160045328,-0.327705552,-2.48775088
10/1/2017,BURGLARY,6721,15,0.953673919,-0.100859762,-1.054533681
10/1/2017,DOMESTIC ABUSE,8927,4,-0.254969283,-0.399300696,-0.144331412
10/1/2017,VEHICLE OFFENCES,9279,6,0.434564579,-0.041268023,-0.475832602
10/1/2017,VIOLENCE AGAINST THE PERSON,17829,363,-0.675741038,0.884498316,1.560239354
10/1/2017,THEFT,19165,37,-0.18974746,-0.382699473,-0.192952013
11/1/2017,LETHAL BARREL DISCHARGE,26,46,0.40579488,-0.286000677,-0.691795557
11/1/2017,GUN CRIME,278,28,1.63635436,0.566535713,-1.069818647
11/1/2017,SEXUAL OFFENCES,1840,166,0.001242221,1.775765262,1.774523041
11/1/2017,KNIFE CRIME,2136,97,1.548567086,-0.52772392,-2.076291006
11/1/2017,ROBBERY,3159,29,1.106595919,-0.336666427,-1.443262346
11/1/2017,DRUG OFFENCES,3200,165,-0.730744785,2.054181282,2.784926067
11/1/2017,MISCELLANEOUS,3784,0,0.001225537,-0.436446594,-0.437672131
11/1/2017,PUBLIC ORDER OFFENCES,3971,9,-0.931855538,0.624730146,1.556585684
11/1/2017,HATE CRIME,4237,49,-1.186766218,-0.030311512,1.156454706
11/1/2017,ARSON AND CRIMINAL DAMAGE,5194,14,1.577438296,-0.236864894,-1.814303189
11/1/2017,BURGLARY,7348,15,1.498777856,-0.100859762,-1.599637619
11/1/2017,DOMESTIC ABUSE,7979,14,-1.448380027,1.734613953,3.18299398
11/1/2017,VEHICLE OFFENCES,9275,11,0.431239821,0.720055844,0.288816023
11/1/2017,VIOLENCE AGAINST THE PERSON,16936,383,-1.244549572,1.00708276,2.251632332
11/1/2017,THEFT,19352,59,-0.145626964,1.154629126,1.30025609
12/1/2017,LETHAL BARREL DISCHARGE,27,37,0.502134672,-0.59045301,-1.092587682
12/1/2017,GUN CRIME,263,24,1.359456519,0.231187219,-1.1282693
12/1/2017,SEXUAL OFFENCES,1509,187,-1.187831762,2.246301175,3.434132937
12/1/2017,KNIFE CRIME,1851,69,0.513786827,-0.810605372,-1.324392199
12/1/2017,DRUG OFFENCES,2619,90,-1.535382056,-0.007965927,1.527416129
12/1/2017,ROBBERY,2825,27,0.449136068,-0.459612869,-0.908748937
12/1/2017,MISCELLANEOUS,3349,0,-0.269429583,-0.436446594,-0.167017011
12/1/2017,PUBLIC ORDER OFFENCES,3363,10,-1.994313589,0.775965724,2.770279313
12/1/2017,HATE CRIME,3896,30,-1.509197008,-0.573320606,0.935876401
12/1/2017,ARSON AND CRIMINAL DAMAGE,4740,39,0.407068416,0.898643333,0.491574917
12/1/2017,BURGLARY,6989,24,1.186668903,0.265660808,-0.921008095
12/1/2017,VEHICLE OFFENCES,8522,16,-0.194645967,1.48137971,1.676025677
12/1/2017,DOMESTIC ABUSE,8712,8,-0.525626783,0.454265164,0.979891947
12/1/2017,VIOLENCE AGAINST THE PERSON,16320,285,-1.636919177,0.406418985,2.043338162
12/1/2017,THEFT,17573,46,-0.565361522,0.246207681,0.811569204
1/1/2018,LETHAL BARREL DISCHARGE,34,23,1.176513214,-1.064045528,-2.240558742
1/1/2018,GUN CRIME,235,29,0.84258055,0.650372836,-0.192207714
1/1/2018,SEXUAL OFFENCES,1663,298,-0.634607009,4.733419573,5.368026582
1/1/2018,KNIFE CRIME,2018,181,1.120131751,0.320920435,-0.799211316
1/1/2018,ROBBERY,2885,58,0.567242628,1.446056989,0.878814361
1/1/2018,MISCELLANEOUS,3025,0,-0.471020982,-0.436446594,0.034574388
1/1/2018,DRUG OFFENCES,3098,84,-0.872006406,-0.172937704,0.699068702
1/1/2018,PUBLIC ORDER OFFENCES,3539,1,-1.686759942,-0.585154481,1.101605462
1/1/2018,HATE CRIME,4092,74,-1.32387022,0.684174137,2.008044357
1/1/2018,ARSON AND CRIMINAL DAMAGE,4929,16,0.894292881,-0.146024235,-1.040317117
1/1/2018,BURGLARY,7639,23,1.751768679,0.2249363,-1.526832379
1/1/2018,DOMESTIC ABUSE,8492,13,-0.802578643,1.521222488,2.323801132
1/1/2018,VEHICLE OFFENCES,9466,7,0.589997039,0.110996751,-0.479000289
1/1/2018,VIOLENCE AGAINST THE PERSON,16437,363,-1.56239443,0.884498316,2.446892747
1/1/2018,THEFT,17511,41,-0.579989708,-0.103185182,0.476804526
2/1/2018,LETHAL BARREL DISCHARGE,34,23,1.176513214,-1.064045528,-2.240558742
2/1/2018,GUN CRIME,198,18,0.159565877,-0.271835521,-0.431401398
2/1/2018,SEXUAL OFFENCES,1538,155,-1.083653075,1.529294069,2.612947144
2/1/2018,KNIFE CRIME,1634,193,-0.274098492,0.442155343,0.716253835
2/1/2018,MISCELLANEOUS,2491,0,-0.803273474,-0.436446594,0.36682688
2/1/2018,ROBBERY,2491,32,-0.208323783,-0.152246763,0.05607702
2/1/2018,DRUG OFFENCES,2845,125,-1.222390622,0.954369437,2.176760059
2/1/2018,PUBLIC ORDER OFFENCES,3354,0,-2.010040764,-0.736390059,1.273650705
2/1/2018,HATE CRIME,3783,40,-1.616043574,-0.287526346,1.328517228
2/1/2018,ARSON AND CRIMINAL DAMAGE,4269,19,-0.807125887,-0.009763248,0.797362639
2/1/2018,BURGLARY,6600,7,0.848478422,-0.426655825,-1.275134247
2/1/2018,DOMESTIC ABUSE,7576,7,-1.95570548,0.240873699,2.196579179
2/1/2018,VEHICLE OFFENCES,8776,6,0.016476198,-0.041268023,-0.057744221
2/1/2018,VIOLENCE AGAINST THE PERSON,14726,262,-2.652239225,0.265446875,2.9176861
2/1/2018,THEFT,16211,23,-0.886709734,-1.360999491,-0.474289756
3/1/2018,LETHAL BARREL DISCHARGE,40,82,1.754551964,0.931808656,-0.822743309
3/1/2018,GUN CRIME,264,54,1.377916375,2.746300922,1.368384546
3/1/2018,SEXUAL OFFENCES,1684,116,-0.55916727,0.655441659,1.214608929
3/1/2018,KNIFE CRIME,2027,211,1.152809022,0.624007705,-0.528801317
3/1/2018,ROBBERY,2599,56,0.004268025,1.323110547,1.318842522
3/1/2018,MISCELLANEOUS,2757,0,-0.637769424,-0.436446594,0.20132283
3/1/2018,DRUG OFFENCES,2849,106,-1.216850951,0.431958811,1.648809762
3/1/2018,PUBLIC ORDER OFFENCES,3979,3,-0.917875827,-0.282683324,0.635192503
