date,metric,crime_type,residual,residual_z,perception_obs_pct,perception_pred_pct,headline_count,crime_count
2021-04-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,4.245201017983935,0.7041883733148484,54.50000000000001,50.25479898201607,10,15727
2021-07-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,5.147829054896641,0.8503092889530958,52.90625,47.75842094510336,4,15523
2021-10-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,1.8808872375109809,0.32144411950186214,51.81250000000001,49.931612762489024,2,14009
2022-01-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-4.286549355161623,-0.67696435575948,49.40625,53.692799355161625,2,12758
2022-04-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,2.369773462212199,0.40058691129969404,49.21875,46.8489765377878,1,14552
2022-07-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,1.0442429373749729,0.1860049062268848,50.15625,49.11200706262503,3,14694
2022-10-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-5.696050633196858,-0.9051398709409421,49.15625,54.85230063319686,4,13011
2023-01-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-5.600074313012415,-0.8896028532421482,50.09375,55.69382431301242,4,12739
2023-04-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-1.9049569100261454,-0.29142296492188985,48.78125,50.686206910026144,8,15265
2023-07-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-1.8973259414185428,-0.29018763422690785,47.96875,49.86607594141854,8,15579
2023-10-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-8.727057601486433,-1.3958109950367843,47.9375,56.66455760148643,20,14251
2024-01-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-10.669654144609664,-1.7102860323597304,47.78125,58.45090414460966,11,12912
2024-04-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-5.5295658196736595,-0.878188665796596,47.6875,53.21706581967366,7,14174
2024-07-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-11.257354416551902,-1.8054252240812387,46.4375,57.6948544165519,49,15079
2024-10-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-5.877410576759868,-0.9344991196345329,46.09375,51.971160576759864,2,13317
2025-01-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-9.400770444911844,-1.5048742343034025,45.46875,54.86952044491184,2,12388
2025-04-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-4.187129017993646,-0.6608698072788716,44.96875,49.15587901799365,3,14678
2025-07-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-5.1765646648716634,-0.8210434743648627,45.9375,51.11406466487166,10,15395
2025-10-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-4.391106661304511,-0.6938904966342122,45.375,49.76610666130451,1,13534
2026-01-01 00:00:00,Good job,PUBLIC ORDER OFFENCES,-4.966439266347006,-0.7870275626319503,44.875,49.841439266347,0,12646
2017-04-01 00:00:00,Good job,ROBBERY,7.971888403448046,1.5167307490261723,69.09375,61.12186159655195,90,7488
2017-07-01 00:00:00,Good job,ROBBERY,5.3831479364566,1.0295312029391794,68.65625,63.2731020635434,111,8434
2017-10-01 00:00:00,Good job,ROBBERY,10.055073815056549,1.9087851090100545,68.34375,58.288676184943455,84,9042
2018-01-01 00:00:00,Good job,ROBBERY,2.9646685263900574,0.5743746950430748,67.53125,64.56658147360994,117,7975
2018-04-01 00:00:00,Good job,ROBBERY,0.014079497274421815,0.019075446623225946,65.9375,65.92342050272558,129,8063
2018-07-01 00:00:00,Good job,ROBBERY,2.9339391829108163,0.5685914493351585,64.40625,61.47231081708918,97,8184
2018-10-01 00:00:00,Good job,ROBBERY,3.6314168101337474,0.6998563589395432,63.24999999999999,59.61858318986625,91,8981
2019-01-01 00:00:00,Good job,ROBBERY,1.2072453693956264,0.24362861397086746,61.3125,60.10525463060438,95,9167
2019-04-01 00:00:00,Good job,ROBBERY,3.4826123489630545,0.6718514403845613,59.68750000000001,56.20488765103695,78,9946
2019-07-01 00:00:00,Good job,ROBBERY,5.335882928442038,1.0206359541708645,59.40625000000001,54.07036707155797,68,9863
2019-10-01 00:00:00,Good job,ROBBERY,1.1752229440743833,0.2376020109644851,58.9375,57.762277055925615,91,10955
2020-01-01 00:00:00,Good job,ROBBERY,-1.619148014335281,-0.28829708162321616,58.1875,59.80664801433528,94,9299
2020-04-01 00:00:00,Good job,ROBBERY,3.577380027429522,0.6896866658624707,58.9375,55.36011997257047,44,4137
2020-07-01 00:00:00,Good job,ROBBERY,5.768573217991868,1.1020680310255673,57.78124999999999,52.01267678200813,50,7274
2020-10-01 00:00:00,Good job,ROBBERY,4.312588324789923,0.8280524670390017,56.71874999999999,52.40616167521007,49,6749
2021-01-01 00:00:00,Good job,ROBBERY,-2.740494796135462,-0.4993339352843614,56.125,58.865494796135465,57,4411
2021-04-01 00:00:00,Good job,ROBBERY,0.4925042569185245,0.10911472584316007,54.50000000000001,54.00749574308148,47,5325
2021-07-01 00:00:00,Good job,ROBBERY,-0.6981882215608803,-0.11497295016807885,52.90625,53.604438221560876,49,5957
2021-10-01 00:00:00,Good job,ROBBERY,6.676147301926216,1.2728729793667228,51.81250000000001,45.13635269807379,30,6329
2022-01-01 00:00:00,Good job,ROBBERY,-2.986697219371276,-0.5456690972580944,49.40625,52.39294721937128,45,5857
2022-04-01 00:00:00,Good job,ROBBERY,-6.1923050563625015,-1.148962746439572,49.21875,55.4110550563625,58,6551
2022-07-01 00:00:00,Good job,ROBBERY,6.0513603058046534,1.1552884069490634,50.15625,44.10488969419535,29,6667
2022-10-01 00:00:00,Good job,ROBBERY,4.877417263618406,0.9343529657266301,49.15625,44.278832736381595,31,7313
2023-01-01 00:00:00,Good job,ROBBERY,-8.951080798711498,-1.6681628387494354,50.09375,59.0448307987115,80,7677
2023-04-01 00:00:00,Good job,ROBBERY,0.24035781120828603,0.06166090207679227,48.78125,48.54089218879171,43,8096
2023-07-01 00:00:00,Good job,ROBBERY,-4.609288375434933,-0.851039869183218,47.96875,52.57803837543493,55,8053
2023-10-01 00:00:00,Good job,ROBBERY,-5.677386192191792,-1.0520552966220356,47.9375,53.61488619219179,62,8848
2024-01-01 00:00:00,Good job,ROBBERY,-6.561450598092167,-1.2184357363603204,47.78125,54.342700598092165,63,8425
2024-04-01 00:00:00,Good job,ROBBERY,-7.106207848163421,-1.3209587541546686,47.6875,54.79370784816342,66,8694
2024-07-01 00:00:00,Good job,ROBBERY,-0.5868431051313183,-0.09401785989341316,46.4375,47.024343105131315,40,8397
2024-10-01 00:00:00,Good job,ROBBERY,-3.0748171398130686,-0.5622532182960591,46.09375,49.16856713981307,47,8807
2025-01-01 00:00:00,Good job,ROBBERY,-13.018656000545603,-2.4336782765759932,45.46875,58.487406000545604,77,7638
2025-04-01 00:00:00,Good job,ROBBERY,-6.38287626202807,-1.1848281435627603,44.96875,51.35162626202807,52,8323
2025-07-01 00:00:00,Good job,ROBBERY,1.7854686881238313,0.35244992766118527,45.9375,44.152031311876165,33,8224
2025-10-01 00:00:00,Good job,ROBBERY,-7.855656160028035,-1.4620045183059305,45.375,53.23065616002803,57,7991
2026-01-01 00:00:00,Good job,ROBBERY,-3.017891157790081,-0.5515397794806232,44.875,47.89289115779008,39,7353
2017-04-01 00:00:00,Good job,SEXUAL OFFENCES,11.406918436350278,2.413408387490104,69.09375,57.68683156364972,127,4960
2017-07-01 00:00:00,Good job,SEXUAL OFFENCES,10.822835225777927,2.290659263219391,68.65625,57.83341477422207,150,5101
2017-10-01 00:00:00,Good job,SEXUAL OFFENCES,4.915954605509243,1.049287468609635,68.34375,63.42779539449076,327,5148
2018-01-01 00:00:00,Good job,SEXUAL OFFENCES,2.144169277667618,0.4667776215527905,67.53125,65.38708072233239,324,4885
2018-04-01 00:00:00,Good job,SEXUAL OFFENCES,10.229174214258629,2.1658972978715907,65.9375,55.70832578574137,134,5256
2018-07-01 00:00:00,Good job,SEXUAL OFFENCES,7.753360358180483,1.645587901556141,64.40625,56.65288964181951,175,5405
2018-10-01 00:00:00,Good job,SEXUAL OFFENCES,1.0016697177497313,0.22667344132447725,63.24999999999999,62.248330282250265,238,4993
2019-01-01 00:00:00,Good job,SEXUAL OFFENCES,1.0859113252275732,0.24437739746957746,61.3125,60.22658867477243,172,4937
2019-04-01 00:00:00,Good job,SEXUAL OFFENCES,-2.841777099669629,-0.5810534757991676,59.68750000000001,62.529277099669635,281,5117
2019-07-01 00:00:00,Good job,SEXUAL OFFENCES,-1.45039981259808,-0.28864592080228024,59.40625000000001,60.856649812598086,203,5016
2019-10-01 00:00:00,Good job,SEXUAL OFFENCES,-4.063875573089759,-0.8378859179402418,58.9375,63.00137557308976,253,4956
2020-01-01 00:00:00,Good job,SEXUAL OFFENCES,-1.6020025818591743,-0.3205062907409727,58.1875,59.789502581859175,184,5055
2020-04-01 00:00:00,Good job,SEXUAL OFFENCES,-4.137128512059951,-0.8532805294375246,58.9375,63.07462851205995,64,3812
2020-07-01 00:00:00,Good job,SEXUAL OFFENCES,0.14383509026787422,0.04639356443962729,57.78124999999999,57.63741490973212,130,4988
2020-10-01 00:00:00,Good job,SEXUAL OFFENCES,-2.29271565912742,-0.46566441859389485,56.71874999999999,59.01146565912742,80,4400
2021-01-01 00:00:00,Good job,SEXUAL OFFENCES,-4.639501134976509,-0.9588576088748219,56.125,60.76450113497651,106,4444
2021-04-01 00:00:00,Good job,SEXUAL OFFENCES,4.242607577938329,0.9077789361462127,54.50000000000001,50.25739242206168,94,5596
2021-07-01 00:00:00,Good job,SEXUAL OFFENCES,2.0210537362483016,0.4409040394675821,52.90625,50.885196263751695,109,5670
2021-10-01 00:00:00,Good job,SEXUAL OFFENCES,2.764773888797417,0.597201970610694,51.81250000000001,49.047726111202586,111,5943
2022-01-01 00:00:00,Good job,SEXUAL OFFENCES,-2.9227801202487633,-0.5980768205202527,49.40625,52.32903012024877,127,5640
2022-04-01 00:00:00,Good job,SEXUAL OFFENCES,-2.350021382740608,-0.47770761254621785,49.21875,51.56877138274061,139,5842
2022-07-01 00:00:00,Good job,SEXUAL OFFENCES,4.394382740655733,0.9396755357614462,50.15625,45.76186725934427,75,5967
2022-10-01 00:00:00,Good job,SEXUAL OFFENCES,-2.4220337122352054,-0.49284150138629246,49.15625,51.578283712235205,96,5445
2023-01-01 00:00:00,Good job,SEXUAL OFFENCES,-6.804635021280781,-1.4138754619171392,50.09375,56.89838502128078,193,5474
2023-04-01 00:00:00,Good job,SEXUAL OFFENCES,-4.063510610558363,-0.8378092185414069,48.78125,52.84476061055836,160,5821
2023-07-01 00:00:00,Good job,SEXUAL OFFENCES,-4.62101406362298,-0.95497242303503,47.96875,52.58976406362298,173,5944
2023-10-01 00:00:00,Good job,SEXUAL OFFENCES,-6.6318162903276185,-1.3775564109701186,47.9375,54.56931629032762,111,5212
2024-01-01 00:00:00,Good job,SEXUAL OFFENCES,-7.469664695195178,-1.5536360450146023,47.78125,55.25091469519518,143,5380
2024-04-01 00:00:00,Good job,SEXUAL OFFENCES,0.9409567854760326,0.2139141989192712,47.6875,46.74654321452397,111,6277
2024-07-01 00:00:00,Good job,SEXUAL OFFENCES,-0.5361918676526689,-0.09651880156286004,46.4375,46.97369186765267,130,6433
2024-10-01 00:00:00,Good job,SEXUAL OFFENCES,-0.5899250980985649,-0.10781121138064427,46.09375,46.68367509809856,131,6487
2025-01-01 00:00:00,Good job,SEXUAL OFFENCES,-3.3643031778096297,-0.6908659431656649,45.46875,48.83305317780963,142,6259
2025-04-01 00:00:00,Good job,SEXUAL OFFENCES,2.3807726192252634,0.5165014493397011,44.96875,42.58797738077474,114,6971
2025-07-01 00:00:00,Good job,SEXUAL OFFENCES,1.0484357685878132,0.2365016501859321,45.9375,44.889064231412185,183,7215
2025-10-01 00:00:00,Good job,SEXUAL OFFENCES,-4.016661745040312,-0.8279636056024867,45.375,49.39166174504031,190,6528
2026-01-01 00:00:00,Good job,SEXUAL OFFENCES,-3.246034229534472,-0.6660109061325543,44.875,48.12103422953447,162,6527
2017-04-01 00:00:00,Good job,THEFT,12.91794907587338,2.313282326600156,69.09375,56.17580092412662,79,56459
2017-07-01 00:00:00,Good job,THEFT,13.672813777470116,2.4475331176506447,68.65625,54.98343622252988,79,59175
2017-10-01 00:00:00,Good job,THEFT,9.67732461028563,1.7369454054506228,68.34375,58.66642538971437,91,56090
2018-01-01 00:00:00,Good job,THEFT,10.057972029322737,1.804642592786266,67.53125,57.47327797067726,73,50929
2018-04-01 00:00:00,Good job,THEFT,4.444529159500776,0.8063058786754519,65.9375,61.492970840499225,102,53897
2018-07-01 00:00:00,Good job,THEFT,0.9674975444779244,0.18792453982494578,64.40625,63.43875245552207,123,56217
2018-10-01 00:00:00,Good job,THEFT,2.6242396903922938,0.48257196894067295,63.24999999999999,60.6257603096077,112,59378
2019-01-01 00:00:00,Good job,THEFT,3.195487459121227,0.5841669497040677,61.3125,58.117012540878775,98,60191
2019-04-01 00:00:00,Good job,THEFT,3.1361787034480226,0.5736190364839825,59.68750000000001,56.55132129655198,99,64486
2019-07-01 00:00:00,Good job,THEFT,6.041831959487598,1.0903821694223859,59.40625000000001,53.364418040512405,80,63572
2019-10-01 00:00:00,Good job,THEFT,-0.37109238866693817,-0.050140317409459706,58.9375,59.30859238866694,115,63730
2020-01-01 00:00:00,Good job,THEFT,-3.973818042723032,-0.690876025373861,58.1875,62.16131804272303,105,53439
2020-04-01 00:00:00,Good job,THEFT,-6.334787948676446,-1.1107685926778916,58.9375,65.27228794867645,47,27740
2020-07-01 00:00:00,Good job,THEFT,2.4788375006845498,0.4567125547337995,57.78124999999999,55.302412499315444,58,47765
2020-10-01 00:00:00,Good job,THEFT,-3.363879656031288,-0.5824000153919157,56.71874999999999,60.08262965603129,66,42941
2021-01-01 00:00:00,Good job,THEFT,-7.1159062063596235,-1.2496885127326085,56.125,63.240906206359625,47,30233
